Fees Status,Day,Month,Advertising Channel,Advertisement ,Enrolled Courses,Paid Fees,Number of phone calls,Average call duration,Training Models,Training Levels,Location,Sale Team,Consultant
Paid,30,Sep,Google Ad,AD01-9364,2,USD 500.000,1,12:45,Excavator,KJI. L4,Arizona,Ahmed,Hany
Paid,18,Sep,Direct Call,AD01-9361,4,USD 750.000,2,2:00,Excavator,Fndn. L1,Arizona,Salah,Dina
Paid,22,Sep,Direct Call,AD01-9362,4,USD 750.000,3,2:00,Excavator,Fndn. L1,Arizona,Mohammed,Rony
Paid,11,Mar,Direct Call,AD01-9362,4,USD 1.000.000,1,2:00,Excavator,Fndn. L5,Arizona,Mohammed,Rony
Paid,1,Oct,Direct Call,AD01-9364,1,USD 350.000,4,2:00,Excavator,Fndn. L5,Arizona,Mohammed,Rony
Paid,25,Nov,Direct Call,AD01-9364,5,USD 1.250.000,4,2:10,Excavator,KJI. L4,Arizona,Salah,Dary
Paid,25,Oct,Direct Call,AD01-9362,3,USD 750.000,2,2:50,Excavator,Fndn. L5,Arizona,Mohammed,Mohmed
Paid,18,Jun,Direct Call,AD01-9364,5,USD 1.250.000,5,6:15,Excavator,Fndn. L6,Arizona,Salah,John
Paid,1,May,Direct Call,AD01-9362,5,USD 1.250.000,1,6:18,Excavator,KJI. L4,Arizona,Salah,Dina
Paid,13,Jan,Direct Call,AD01-9362,4,USD 750.000,5,8:12,Excavator,Fndn. L3,Arizona,Mohammed,Mohmed
Paid,17,Dec,Direct Call,AD01-9362,2,USD 600.000,2,9:12,Excavator,Pre. L3,Arizona,Mohammed,Mohmed
Paid,18,Oct,Direct Call,AD01-9362,3,USD 750.000,1,6:15,Excavator,Pre. L3,Arizona,Mohammed,Rony
Paid,17,Nov,Direct Call,AD01-9363,3,USD 750.000,2,7:14,Excavator,Pre. L8,Arizona,Salah,Ahmed
Paid,22,Nov,Direct Call,AD01-9361,2,USD 190.000,4,2:00,Truck,Pre. L3,Arizona,Ahmed,Hany
Paid,27,Dec,Facebook Page,AD01-9362,2,USD 190.000,1,3:40,Truck,KJI. L4,Arizona,Salah,John
Paid,1,Apr,Direct Call,AD01-9364,1,USD 95.000,1,2:00,Truck,Fndn. L1,Arizona,Salah,Ahmed
Paid,22,Oct,Direct Call,AD01-9362,2,USD 190.000,6,3:30,Truck,Fndn. L5,Arizona,Salah,Ahmed
Paid,3,Nov,Direct Call,AD01-9361,4,USD 100.000,6,2:00,Truck,Fndn. L5,Arizona,Abdullah,Reham
Paid,30,Sep,Google Ad,AD01-9364,2,USD 50.000,1,12:45,Truck,KJI. L4,Arizona,Ahmed,Hany
Not Paid,3,Jun,Company Website,AD01-9361,,,2,2:00,,,Arizona,Mohammed,Kisho
Not Paid,22,Oct,Direct Call,AD01-9364,,,1,2:00,,,Arizona,Mohammed,Rony
Not Paid,23,Dec,Direct Call,AD01-9362,,,5,3:12,,,Arizona,Mohammed,Rony
Not Paid,5,Oct,Google Ad,AD01-9363,,,4,8:00,,,Arizona,Abdullah,Hisham
Not Paid,12,Jun,Direct Call,AD01-9362,,,2,4:48,,,Arizona,Abdullah,Adam
Not Paid,16,Nov,Direct Call,AD01-9364,,,1,6:18,,,Arizona,Abdullah,Reham
Not Paid,2,Jul,Direct Call,AD01-9361,,,4,8:10,,,Arizona,Abdullah,Reham
Not Paid,30,Dec,Direct Call,AD01-9361,,,2,3:17,,,Arizona,Abdullah,Reham
Not Paid,11,Jan,Youtube Channel,AD01-9362,,,4,2:18,,,Arizona,Salah,John
Paid,4,May,Company Website,AD01-9362,4,USD 100.000,1,11:20,Crane,Pre. L3,California,Mohammed,Kenza
Paid,17,Nov,Direct Call,AD01-9361,4,USD 35.000,2,2:00,Crane,KJI. L4,California,Salah,Jood
Paid,19,Oct,Google Ad,AD01-9361,4,USD 50.000,1,2:00,Crane,Pre. L3,California,Salah,Jood
Paid,1,May,Google Ad,AD01-9361,4,USD 100.000,4,4:48,Crane,Pre. L4,California,Salah,John
Paid,1,Jun,Direct Call,AD01-9361,4,USD 55.000,4,3:16,Crane,Fndn. L1,California,Ahmed,Hany
Paid,25,Dec,Direct Call,AD01-9361,4,USD 100.000,1,10:10,Crane,Fndn. L6,California,Ahmed,Hany
Paid,5,Aug,Direct Call,AD01-9364,4,USD 100.000,3,12:45,Crane,Pre. L2,California,Salah,Ahmed
Paid,15,Jan,Direct Call,AD01-9362,4,USD 55.000,3,2:25,Crane,Fndn. L3,California,Salah,Sahar
Paid,11,Feb,Direct Call,AD01-9361,4,USD 100.000,2,3:30,Crane,Fndn. L5,California,Mohammed,Kenza
Paid,20,Sep,Company Website,AD01-9364,2,USD 100.000,3,2:00,Excavator,Fndn. L5,California,Mohammed,Rony
Paid,22,Dec,Company Website,AD01-9364,5,USD 1.250.000,6,2:00,Excavator,Pre. L3,California,Ahmed,Khalil
Paid,15,Sep,Company Website,AD01-9361,4,USD 750.000,3,2:00,Excavator,Fndn. L5,California,Salah,Dina
Paid,15,Nov,Company Website,AD01-9362,2,USD 600.000,2,2:00,Excavator,Fndn. L5,California,Salah,Jood
Paid,12,Jan,Company Website,AD01-9361,2,USD 600.000,1,2:00,Excavator,Fndn. L5,California,Mohammed,Kenza
Paid,3,Nov,Company Website,AD01-9362,5,USD 1.250.000,3,2:00,Excavator,Fndn. L1,California,Salah,Sahar
Paid,30,Dec,Company Website,AD01-9361,2,USD 600.000,1,2:00,Excavator,KJI. L4,California,Salah,John
Paid,29,Oct,Company Website,AD01-9361,3,USD 750.000,3,2:10,Excavator,Pre. L4,California,Ahmed,Hany
Paid,19,Aug,Company Website,AD01-9363,1,USD 350.000,5,4:45,Excavator,Pre. L8,California,Salah,Dary
Paid,5,Nov,Company Website,AD01-9364,5,USD 1.250.000,2,8:00,Excavator,KJI. L4,California,Ahmed,Khalil
Paid,27,Oct,Company Website,AD01-9364,5,USD 1.250.000,2,8:10,Excavator,Fndn. L1,California,Mohammed,Mohmed
Paid,21,Oct,Company Website,AD01-9361,1,USD 350.000,2,8:20,Excavator,KJI. L4,California,Mohammed,Habib
Paid,26,Aug,Company Website,AD01-9362,3,USD 750.000,2,9:00,Excavator,Fndn. L3,California,Salah,John
Paid,1,Dec,Company Website,AD01-9363,5,USD 1.250.000,3,9:12,Excavator,Fndn. L1,California,Abdullah,Hisham
Paid,29,Aug,Company Website,AD01-9364,5,USD 1.050.000,5,9:15,Excavator,KJI. L4,California,Abdullah,Reham
Paid,1,Oct,Company Website,AD01-9361,2,USD 600.000,2,12:55,Excavator,KJI. L4,California,Mohammed,Kisho
Paid,3,Dec,Direct Call,AD01-9361,5,USD 1.000.000,4,2:00,Excavator,Fndn. L1,California,Mohammed,Mohmed
Paid,8,Sep,Direct Call,AD01-9364,5,USD 1.050.000,4,2:00,Excavator,KJI. L4,California,Salah,Ahmed
Paid,14,Dec,Direct Call,AD01-9364,1,USD 350.000,1,2:00,Excavator,Fndn. L1,California,Salah,Dary
Paid,11,Sep,Facebook Page,AD01-9364,2,USD 600.000,5,2:00,Excavator,Pre. L8,California,Salah,Dina
Paid,2,Dec,Facebook Page,AD01-9364,2,USD 600.000,2,2:00,Excavator,Pre. L3,California,Salah,Sahar
Paid,10,Dec,Facebook Page,AD01-9361,4,USD 1.000.000,1,2:00,Excavator,KJI. L4,California,Ahmed,Hany
Paid,18,Nov,Direct Call,AD01-9365,5,USD 1.250.000,4,2:25,Excavator,KJI. L4,California,Abdullah,Reham
Paid,1,Dec,Direct Call,AD01-9361,2,USD 600.000,4,2:30,Excavator,KJI. L4,California,Ahmed,Hany
Paid,10,Jul,Direct Call,AD01-9362,1,USD 350.000,4,3:12,Excavator,KJI. L4,California,Salah,Dary
Paid,25,Oct,Direct Call,AD01-9364,5,USD 1.250.000,2,3:12,Excavator,Fndn. L1,California,Salah,John
Paid,10,Jul,Direct Call,AD01-9362,1,USD 350.000,4,3:12,Excavator,KJI. L4,California,Salah,Dary
Paid,13,May,Facebook Page,AD01-9362,2,USD 600.000,1,7:14,Excavator,Fndn. L1,California,Mohammed,Kisho
Paid,6,Sep,Facebook Page,AD01-9362,5,USD 1.000.000,2,8:20,Excavator,Fndn. L1,California,Salah,Dary
Paid,17,Nov,Google Ad,AD01-9361,2,USD 600.000,2,2:00,Excavator,Fndn. L6,California,Mohammed,Mohmed
Paid,5,Oct,Google Ad,AD01-9361,4,USD 750.000,1,2:00,Excavator,KJI. L4,California,Ahmed,Khalil
Paid,11,Jan,Google Ad,AD01-9364,5,USD 1.250.000,3,2:12,Excavator,Pre. L2,California,Ahmed,Khalil
Paid,30,Sep,Google Ad,AD01-9364,2,USD 600.000,2,2:12,Excavator,Pre. L2,California,Abdullah,Hisham
Paid,22,Sep,Google Ad,AD01-9364,3,USD 600.000,2,2:12,Excavator,KJI. L4,California,Abdullah,Reham
Paid,1,May,Google Ad,AD01-9362,4,USD 1.000.000,3,3:12,Excavator,Pre. L3,California,Mohammed,Mohmed
Paid,28,Jun,Google Ad,AD01-9364,4,USD 750.000,2,3:16,Excavator,Fndn. L5,California,Ahmed,Hany
Paid,19,Aug,Google Ad,AD01-9362,3,USD 750.000,2,3:40,Excavator,KJI. L4,California,Abdullah,Hisham
Paid,1,Oct,Google Ad,AD01-9364,3,USD 750.000,1,4:45,Excavator,Fndn. L1,California,Ahmed,Khalil
Paid,13,Jan,Google Ad,AD01-9362,2,USD 600.000,1,4:48,Excavator,Pre. L3,California,Mohammed,Kisho
Paid,1,Nov,Google Ad,AD01-9362,3,USD 750.000,3,6:18,Excavator,Fndn. L5,California,Mohammed,Mohmed
Paid,1,Jun,Google Ad,AD01-9361,2,USD 600.000,1,9:15,Excavator,Fndn. L5,California,Mohammed,Mohmed
Paid,10,Aug,Direct Call,AD01-9361,3,USD 550.000,1,2:00,Excavator,Pre. L8,California,Mohammed,Kisho
Paid,11,Sep,Direct Call,AD01-9362,3,USD 600.000,4,2:00,Excavator,Pre. L8,California,Ahmed,Khalil
Paid,12,Jan,Direct Call,AD01-9362,3,USD 550.000,1,2:00,Excavator,Pre. L3,California,Mohammed,Mohmed
Paid,2,Oct,Direct Call,AD01-9362,3,USD 550.000,1,2:00,Excavator,Pre. L2,California,Abdullah,Reham
Paid,11,Feb,Direct Call,AD01-9361,3,USD 750.000,1,2:00,Excavator,Fndn. L1,California,Ahmed,Khalil
Paid,16,Dec,Direct Call,AD01-9361,3,USD 600.000,3,2:00,Excavator,Fndn. L3,California,Ahmed,Khalil
Paid,9,Oct,Direct Call,AD01-9364,3,USD 750.000,1,2:00,Excavator,Pre. L2,California,Mohammed,Kisho
Paid,15,Aug,Direct Call,AD01-9361,3,USD 750.000,2,2:00,Excavator,Pre. L3,California,Salah,Dary
Paid,8,Oct,Direct Call,AD01-9362,3,USD 750.000,4,2:00,Excavator,Pre. L2,California,Abdullah,Reham
Paid,15,Feb,Direct Call,AD01-9361,2,USD 600.000,2,3:00,Excavator,Fndn. L5,California,Mohammed,Kisho
Paid,22,Sep,Direct Call,AD01-9362,5,USD 1.250.000,3,3:12,Excavator,KJI. L4,California,Abdullah,Hisham
Paid,12,Jan,Direct Call,AD01-9361,5,USD 1.250.000,1,3:16,Excavator,Pre. L8,California,Mohammed,Mohmed
Paid,11,Sep,Direct Call,AD01-9361,5,USD 1.050.000,5,3:40,Excavator,Pre. L3,California,Mohammed,Habib
Paid,29,Sep,Direct Call,AD01-9363,1,USD 350.000,4,5:14,Excavator,Fndn. L5,California,Abdullah,Adam
Paid,12,Sep,Direct Call,AD01-9361,1,USD 350.000,1,6:18,Excavator,Pre. L3,California,Mohammed,Habib
Paid,29,Dec,Direct Call,AD01-9361,1,USD 350.000,1,7:10,Excavator,Fndn. L3,California,Salah,Dina
Paid,22,Oct,Direct Call,AD01-9364,2,USD 600.000,2,7:14,Excavator,Fndn. L5,California,Mohammed,Mohmed
Paid,27,Sep,Direct Call,AD01-9361,1,USD 350.000,1,7:30,Excavator,Fndn. L6,California,Ahmed,Hany
Paid,5,Oct,Direct Call,AD01-9362,4,USD 750.000,6,7:30,Excavator,Fndn. L6,California,Ahmed,Khalil
Paid,28,Oct,Direct Call,AD01-9362,5,USD 1.000.000,2,9:00,Excavator,Pre. L3,California,Mohammed,Mohmed
Paid,2,May,Direct Call,AD01-9362,5,USD 1.250.000,1,12:45,Excavator,KJI. L4,California,Salah,Jood
Paid,2,Oct,Direct Call,AD01-9361,3,USD 600.000,1,2:00,Excavator,Fndn. L1,California,Salah,Sahar
Paid,2,Oct,Direct Call,AD01-9361,3,USD 600.000,1,2:00,Excavator,Fndn. L1,California,Salah,Rony
Paid,5,May,Direct Call,AD01-9361,1,USD 350.000,2,2:00,Excavator,Pre. L3,California,Mohammed,Mohmed
Paid,30,Oct,Direct Call,AD01-9362,3,USD 750.000,1,2:00,Excavator,KJI. L4,California,Mohammed,Kisho
Paid,13,Sep,Direct Call,AD01-9362,3,USD 600.000,1,2:00,Excavator,Pre. L2,California,Salah,Dina
Paid,22,Nov,Direct Call,AD01-9362,3,USD 750.000,1,2:00,Excavator,Fndn. L6,California,Salah,Dina
Paid,11,Jan,Direct Call,AD01-9365,3,USD 750.000,2,2:18,Excavator,KJI. L4,California,Abdullah,Reham
Paid,11,Jan,Direct Call,AD01-9365,3,USD 750.000,2,2:18,Excavator,KJI. L4,California,Abdullah,Reham
Paid,7,Oct,Direct Call,AD01-9365,2,USD 600.000,1,2:30,Excavator,Fndn. L3,California,Mohammed,Rony
Paid,28,Nov,Direct Call,AD01-9361,2,USD 600.000,3,4:45,Excavator,Fndn. L1,California,Salah,Dina
Paid,9,Sep,Direct Call,AD01-9362,5,USD 1.250.000,2,5:14,Excavator,Fndn. L3,California,Salah,John
Paid,27,Aug,Direct Call,AD01-9361,3,USD 750.000,4,6:30,Excavator,Fndn. L1,California,Salah,John
Paid,1,May,Direct Call,AD01-9361,2,USD 600.000,5,8:10,Excavator,Fndn. L3,California,Ahmed,Khalil
Paid,3,Nov,Direct Call,AD01-9364,4,USD 1.000.000,1,9:00,Excavator,Fndn. L1,California,Salah,Dary
Paid,8,Oct,Direct Call,AD01-9362,2,USD 600.000,4,9:12,Excavator,Fndn. L1,California,Abdullah,Reham
Paid,8,Oct,Direct Call,AD01-9362,2,USD 600.000,2,12:55,Excavator,Fndn. L1,California,Salah,Jood
Paid,1,Jul,Youtube Channel,AD01-9361,2,USD 600.000,5,2:00,Excavator,Pre. L3,California,Abdullah,Reham
Paid,22,Nov,Youtube Channel,AD01-9364,2,USD 600.000,2,2:25,Excavator,Pre. L3,California,Mohammed,Kisho
Paid,17,Aug,Youtube Channel,AD01-9362,2,USD 600.000,4,5:14,Excavator,Fndn. L5,California,Abdullah,Reham
Paid,16,Sep,Youtube Channel,AD01-9362,3,USD 600.000,2,6:15,Excavator,Fndn. L5,California,Ahmed,Khalil
Paid,16,Aug,Youtube Channel,AD01-9361,5,USD 1.000.000,3,6:30,Excavator,Fndn. L6,California,Salah,Sahar
Paid,20,Oct,Direct Call,AD01-9361,2,USD 1.900.000,1,2:00,Tower Crane,KJI. L4,California,Ahmed,Hany
Paid,20,Nov,Direct Call,AD01-9362,2,USD 1.900.000,4,3:12,Tower Crane,KJI. L4,California,Ahmed,Hany
Paid,12,Aug,Company Website,AD01-9361,2,USD 190.000,4,2:10,Truck,Fndn. L3,California,Mohammed,Mohmed
Paid,27,Oct,Facebook Page,AD01-9362,1,USD 95.000,1,2:50,Truck,Fndn. L1,California,Salah,Sahar
Paid,15,Oct,Facebook Page,AD01-9364,1,USD 95.000,2,7:30,Truck,KJI. L4,California,Abdullah,Hisham
Paid,26,Oct,Facebook Page,AD01-9362,2,USD 190.000,5,8:00,Truck,Fndn. L5,California,Mohammed,Rony
Paid,30,Sep,Facebook Page,AD01-9362,1,USD 95.000,5,8:12,Truck,Pre. L3,California,Salah,John
Paid,3,May,Google Ad,AD01-9362,2,USD 190.000,1,2:00,Truck,KJI. L4,California,Abdullah,Hisham
Paid,27,Oct,Direct Call,AD01-9362,1,USD 95.000,2,2:00,Truck,Pre. L3,California,Salah,Dary
Paid,11,Oct,Direct Call,AD01-9363,2,USD 190.000,1,4:45,Truck,KJI. L4,California,Salah,Dary
Paid,22,Oct,Direct Call,AD01-9361,2,USD 190.000,1,6:20,Truck,Pre. L3,California,Ahmed,Hany
Paid,25,Oct,Direct Call,AD01-9362,1,USD 95.000,4,7:10,Truck,Pre. L4,California,Ahmed,Khalil
Paid,6,Oct,Direct Call,AD01-9362,1,USD 95.000,1,2:00,Truck,KJI. L4,California,Ahmed,Khalil
Paid,11,Feb,Direct Call,AD01-9362,2,USD 190.000,5,2:00,Truck,Fndn. L6,California,Mohammed,Kisho
Paid,12,Sep,Youtube Channel,AD01-9362,2,USD 190.000,6,2:00,Truck,Fndn. L3,California,Salah,John
Paid,1,Oct,Company Website,AD01-9361,2,USD 60.000,2,12:55,Truck,KJI. L4,California,Mohammed,Kisho
Paid,11,Feb,Direct Call,AD01-9362,2,USD 19.000,5,2:00,Truck,Fndn. L6,California,Mohammed,Kisho
Paid,12,Sep,Youtube Channel,AD01-9362,2,USD 19.000,6,2:00,Truck,Fndn. L3,California,Salah,John
Paid,1,Oct,Company Website,AD01-9361,2,USD 60.000,2,12:55,Truck,KJI. L4,California,Mohammed,Kisho
Paid,17,Nov,Direct Call,AD01-9361,4,USD 55.000,2,2:00,Truck,KJI. L4,California,Salah,Jood
Paid,19,Oct,Google Ad,AD01-9361,4,USD 55.000,1,2:00,Truck,Pre. L3,California,Salah,Jood
Paid,1,May,Google Ad,AD01-9361,4,USD 100.000,4,4:48,Truck,Pre. L4,California,Salah,John
Paid,1,Jun,Direct Call,AD01-9361,4,USD 100.000,4,3:16,Truck,Fndn. L1,California,Ahmed,Hany
Paid,8,Oct,Direct Call,AD01-9362,2,USD 60.000,2,12:55,Truck,Fndn. L1,California,Salah,Jood
Paid,15,Jan,Direct Call,AD01-9362,4,USD 100.000,3,2:25,Truck,Fndn. L3,California,Salah,Sahar
Paid,11,Feb,Direct Call,AD01-9361,4,USD 100.000,2,3:30,Truck,Fndn. L5,California,Mohammed,Kenza
Not Paid,29,Oct,Company Website,AD01-9364,,,4,2:00,,,California,Abdullah,Hisham
Not Paid,9,Oct,Company Website,AD01-9361,,,5,2:12,,,California,Abdullah,Hisham
Not Paid,6,Dec,Company Website,AD01-9362,,,2,2:18,,,California,Mohammed,Kenza
Not Paid,14,Dec,Company Website,AD01-9361,,,4,3:30,,,California,Mohammed,Rony
Not Paid,26,Nov,Company Website,AD01-9361,,,3,4:00,,,California,Mohammed,Kisho
Not Paid,29,May,Company Website,AD01-9364,,,2,5:15,,,California,Abdullah,Reham
Not Paid,25,Nov,Company Website,AD01-9362,,,2,10:10,,,California,Mohammed,Mohmed
Not Paid,5,Oct,Direct Call,AD01-9364,,,5,2:00,,,California,Salah,Ahmed
Not Paid,30,Aug,Direct Call,AD01-9362,,,1,2:12,,,California,Salah,Dary
Not Paid,1,Dec,Google Ad,AD01-9361,,,2,2:00,,,California,Salah,Jood
Not Paid,21,Nov,Google Ad,AD01-9362,,,2,2:12,,,California,Abdullah,Reham
Not Paid,2,Dec,Google Ad,AD01-9362,,,3,3:17,,,California,Salah,Dary
Not Paid,11,Nov,Google Ad,AD01-9364,,,2,4:48,,,California,Salah,Dina
Not Paid,24,Oct,Google Ad,AD01-9362,,,3,6:30,,,California,Ahmed,Hany
Not Paid,30,Dec,Google Ad,AD01-9364,,,3,8:40,,,California,Ahmed,Hany
Not Paid,13,Jun,Direct Call,AD01-9365,,,3,2:00,,,California,Mohammed,Kisho
Not Paid,18,Sep,Direct Call,AD01-9361,,,1,2:00,,,California,Abdullah,Reham
Not Paid,8,Jun,Direct Call,AD01-9363,,,2,2:12,,,California,Salah,John
Not Paid,11,May,Direct Call,AD01-9361,,,2,2:30,,,California,Ahmed,Hany
Not Paid,28,Nov,Direct Call,AD01-9362,,,2,2:50,,,California,Mohammed,Rony
Not Paid,1,Dec,Direct Call,AD01-9361,,,2,2:56,,,California,Ahmed,Hany
Not Paid,7,Dec,Direct Call,AD01-9364,,,1,3:12,,,California,Salah,Sahar
Not Paid,26,Nov,Direct Call,AD01-9361,,,2,4:00,,,California,Mohammed,Kisho
Not Paid,19,Mar,Direct Call,AD01-9361,,,3,6:30,,,California,Ahmed,Khalil
Not Paid,30,Dec,Direct Call,AD01-9362,,,5,8:40,,,California,Abdullah,Reham
Not Paid,13,Jan,Direct Call,AD01-9363,,,2,9:15,,,California,Ahmed,Hany
Not Paid,21,Sep,Direct Call,AD01-9362,,,2,2:00,,,California,Abdullah,Adam
Not Paid,24,Oct,Direct Call,AD01-9361,,,1,2:00,,,California,Ahmed,Hany
Not Paid,29,Dec,Direct Call,AD01-9362,,,3,6:30,,,California,Mohammed,Kisho
Paid,10,Sep,Company Website,AD01-9363,4,USD 190.000,1,2:00,Crane,KJI. L4,New York,Abdullah,Adam
Paid,1,May,Company Website,AD01-9364,4,USD 100.000,2,2:12,Crane,Fndn. L5,New York,Salah,Dary
Paid,16,Aug,Company Website,AD01-9361,4,USD 35.000,3,3:00,Crane,Fndn. L5,New York,Salah,Dary
Paid,10,Oct,Company Website,AD01-9364,4,USD 100.000,2,4:40,Crane,KJI. L4,New York,Mohammed,Habib
Paid,25,Dec,Direct Call,AD01-9361,4,USD 100.000,4,6:18,Crane,Pre. L3,New York,Salah,Dary
Paid,31,Oct,Direct Call,AD01-9361,4,USD 55.000,1,6:20,Crane,Fndn. L6,New York,Salah,Dina
Paid,13,Nov,Google Ad,AD01-9365,4,USD 55.000,3,2:00,Crane,KJI. L4,New York,Abdullah,Reham
Paid,18,Oct,Google Ad,AD01-9362,4,USD 75.000,2,2:00,Crane,Pre. L4,New York,Ahmed,Khalil
Paid,11,Dec,Google Ad,AD01-9361,4,USD 75.000,3,2:12,Crane,Pre. L4,New York,Abdullah,Hisham
Paid,1,May,Direct Call,AD01-9364,4,USD 55.000,4,2:00,Crane,Fndn. L1,New York,Salah,Dina
Paid,26,Oct,Direct Call,AD01-9361,4,USD 125.000,3,2:00,Crane,KJI. L4,New York,Salah,John
Paid,27,Aug,Direct Call,AD01-9361,4,USD 50.000,1,2:00,Crane,Pre. L2,New York,Abdullah,Reham
Paid,27,Aug,Direct Call,AD01-9361,4,USD 125.000,1,2:00,Crane,Pre. L2,New York,Abdullah,Reham
Paid,2,Nov,Direct Call,AD01-9362,4,USD 100.000,4,2:10,Crane,Pre. L2,New York,Mohammed,Mohmed
Paid,24,Oct,Direct Call,AD01-9361,4,USD 100.000,2,2:30,Crane,Pre. L2,New York,Abdullah,Reham
Paid,17,Jun,Direct Call,AD01-9362,4,USD 100.000,1,2:56,Crane,Pre. L8,New York,Salah,Ahmed
Paid,25,Sep,Direct Call,AD01-9361,4,USD 100.000,2,3:14,Crane,KJI. L4,New York,Salah,John
Paid,1,Jun,Direct Call,AD01-9361,4,USD 55.000,4,3:16,Crane,Fndn. L1,New York,Ahmed,Hany
Paid,24,Oct,Direct Call,AD01-9362,4,USD 100.000,1,4:40,Crane,KJI. L4,New York,Ahmed,Khalil
Paid,10,Oct,Direct Call,AD01-9361,4,USD 100.000,5,6:30,Crane,Fndn. L3,New York,Ahmed,Khalil
Paid,27,Oct,Direct Call,AD01-9361,4,USD 55.000,5,8:40,Crane,Pre. L3,New York,Mohammed,Mohmed
Paid,6,Nov,Direct Call,AD01-9362,4,USD 100.000,1,8:40,Crane,Pre. L4,New York,Salah,Ahmed
Paid,20,Nov,Direct Call,AD01-9362,4,USD 100.000,2,9:00,Crane,Fndn. L1,New York,Mohammed,Rony
Paid,7,Sep,Direct Call,AD01-9363,4,USD 55.000,5,9:12,Crane,Fndn. L1,New York,Mohammed,Mohmed
Paid,10,Oct,Direct Call,AD01-9364,4,USD 100.000,5,9:15,Crane,Fndn. L5,New York,Mohammed,Kisho
Paid,5,Aug,Direct Call,AD01-9364,4,USD 100.000,3,12:45,Crane,Pre. L2,New York,Salah,Ahmed
Paid,9,Jul,Direct Call,AD01-9362,4,USD 75.000,1,12:55,Crane,KJI. L4,New York,Salah,John
Paid,1,Apr,Direct Call,AD01-9361,4,USD 60.000,3,2:00,Crane,Fndn. L1,New York,Ahmed,Hany
Paid,29,Nov,Direct Call,AD01-9365,4,USD 100.000,3,2:50,Crane,Pre. L3,New York,Abdullah,Reham
Paid,28,Dec,Direct Call,AD01-9364,4,USD 100.000,1,12:55,Crane,Fndn. L5,New York,Ahmed,Khalil
Paid,30,Sep,Youtube Channel,AD01-9362,4,USD 100.000,5,6:15,Crane,KJI. L4,New York,Ahmed,Khalil
Paid,20,Oct,Company Website,AD01-9361,5,USD 1.250.000,4,2:00,Excavator,Fndn. L3,New York,Salah,John
Paid,20,Oct,Company Website,AD01-9362,2,USD 500.000,1,2:00,Excavator,Pre. L4,New York,Salah,Ahmed
Paid,11,Feb,Company Website,AD01-9361,5,USD 1.250.000,1,2:00,Excavator,Fndn. L5,New York,Mohammed,Rony
Paid,9,Oct,Company Website,AD01-9362,3,USD 750.000,3,2:00,Excavator,Fndn. L1,New York,Mohammed,Kenza
Paid,19,Nov,Company Website,AD01-9361,2,USD 600.000,1,2:00,Excavator,KJI. L4,New York,Ahmed,Hany
Paid,1,Apr,Company Website,AD01-9362,5,USD 1.250.000,1,2:00,Excavator,Fndn. L1,New York,Salah,Sahar
Paid,31,Oct,Company Website,AD01-9361,3,USD 750.000,3,2:00,Excavator,Fndn. L5,New York,Abdullah,Hisham
Paid,2,Aug,Company Website,AD01-9363,2,USD 600.000,2,2:00,Excavator,Pre. L3,New York,Salah,Ahmed
Paid,11,Nov,Company Website,AD01-9363,5,USD 1.050.000,4,2:00,Excavator,KJI. L4,New York,Mohammed,Kisho
